Class Standing,Cumulative GPA,LLM Frequency (ChatGPT),LLM Frequency (Claude),LLM Frequency (Gemini),LLM Frequency (Copilot),LLM Frequency (Perplexity),LLM Frequency (Deepseek),Math Usage,CS Usage,Data Science Usage,AI Chatbot Usage,Coding Self Confidence,Research Self Confidence,Data Analysis Self Confidence,Writing Self Confidence,Topic Summarization Self Confidence,Agreement,Overreliance Concern,Loss of Learning Concern,Math Trust,CS Trust,Data Science Trust,Hallucinations/Wrong Answers
Sophomore,3.33 – 3.67,Use Frequently,Used 1-2 times,Use Frequently,Use Rarely,Never Used,Never Used,3.0,3.0,0.0,4.0,Mostly Confident,Very Confident,Mostly Confident,Very Confident,Very Confident,3.0,5 (Extremely influential),5 (Extremely influential),5.0,5.0,5.0,5 (Extremely influential)
Junior,3.33 – 3.67,Used 1-2 times,Never Used,Used 1-2 times,Never Used,Never Used,Never Used,2.0,2.0,1.0,2.0,Fairly Confident,Mostly Confident,Mostly Confident,Very Confident,Very Confident,5.0,4 (Moderately influential),3 (Partially Influential),1.0,2.0,2.0,3 (Partially Influential)
Sophomore,3.67 – 4.0,Use Frequently,Use Frequently,Use Frequently,Never Used,Never Used,Never Used,2.0,2.0,2.0,2.0,Fairly Confident,Fairly Confident,Fairly Confident,Fairly Confident,Fairly Confident,3.0,2 (Somewhat influential),2 (Somewhat influential),2.0,2.0,2.0,2 (Somewhat influential)
Junior,3.33 – 3.67,,Use Rarely,Use Rarely,Never Used,Never Used,Never Used,5.0,5.0,5.0,5.0,Slightly Confident,Mostly Confident,Mostly Confident,Very Confident,Mostly Confident,3.0,4 (Moderately influential),5 (Extremely influential),5.0,5.0,5.0,2 (Somewhat influential)
Sophomore,2.33 – 2.67,Use Rarely,Never Used,Use Frequently,Never Used,Never Used,Never Used,2.0,1.0,1.0,1.0,Mostly Confident,Mostly Confident,Mostly Confident,Very Confident,Mostly Confident,4.0,2 (Somewhat influential),2 (Somewhat influential),5.0,5.0,5.0,2 (Somewhat influential)
Junior,3.67 – 4.0,Use Frequently,Use Frequently,Use Frequently,Never Used,Never Used,Never Used,5.0,3.0,0.0,4.0,Mostly Confident,Mostly Confident,Fairly Confident,Mostly Confident,Mostly Confident,3.0,5 (Extremely influential),3 (Partially Influential),5.0,5.0,5.0,5 (Extremely influential)
Junior,3.33 – 3.67,Use Frequently,Never Used,Used 1-2 times,Never Used,Never Used,Never Used,2.0,1.0,1.0,1.0,Fairly Confident,Very Confident,Fairly Confident,Very Confident,Very Confident,3.0,5 (Extremely influential),5 (Extremely influential),2.0,2.0,2.0,5 (Extremely influential)
Junior,3.33 – 3.67,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,0.0,0.0,0.0,0.0,Very Confident,Very Confident,Very Confident,Very Confident,Very Confident,0.0,5 (Extremely influential),5 (Extremely influential),5.0,5.0,5.0,5 (Extremely influential)
Junior,3.0 – 3.33,Use Frequently,Never Used,Never Used,Never Used,Never Used,Never Used,2.0,2.0,2.0,3.0,Fairly Confident,Very Confident,Mostly Confident,Very Confident,Mostly Confident,3.0,4 (Moderately influential),4 (Moderately influential),3.0,3.0,3.0,4 (Moderately influential)
Junior,3.0 – 3.33,Used 1-2 times,Used 1-2 times,Use Rarely,Used 1-2 times,Never Used,Used 1-2 times,2.0,4.0,1.0,2.0,Fairly Confident,Mostly Confident,Somewhat Confident,Very Confident,Very Confident,1.0,5 (Extremely influential),5 (Extremely influential),3.0,5.0,1.0,3 (Partially Influential)
Junior,3.67 – 4.0,Use Rarely,Never Used,Never Used,Never Used,Never Used,Never Used,4.0,2.0,2.0,1.0,Mostly Confident,Very Confident,Mostly Confident,Mostly Confident,Mostly Confident,3.0,5 (Extremely influential),3 (Partially Influential),4.0,5.0,5.0,4 (Moderately influential)
Junior,3.67 – 4.0,Used 1-2 times,Use Frequently,Used 1-2 times,Use Rarely,Never Used,Never Used,3.0,5.0,0.0,5.0,Mostly Confident,Fairly Confident,Slightly Confident,Mostly Confident,Fairly Confident,5.0,2 (Somewhat influential),2 (Somewhat influential),2.0,2.0,0.0,3 (Partially Influential)
Sophomore,3.67 – 4.0,Use Rarely,Use Rarely,Use Frequently,Never Used,Never Used,Use Rarely,2.0,2.0,2.0,3.0,Somewhat Confident,Mostly Confident,Mostly Confident,Mostly Confident,Mostly Confident,3.0,4 (Moderately influential),5 (Extremely influential),3.0,3.0,3.0,4 (Moderately influential)
Junior,3.67 – 4.0,Use Rarely,Used 1-2 times,Used 1-2 times,Used 1-2 times,Never Used,Never Used,1.0,1.0,1.0,1.0,Fairly Confident,Very Confident,Mostly Confident,Very Confident,Very Confident,1.0,4 (Moderately influential),4 (Moderately influential),2.0,1.0,1.0,5 (Extremely influential)
Junior,3.33 – 3.67,Never Used,Use Rarely,Use Rarely,Never Used,Never Used,Never Used,1.0,1.0,1.0,1.0,Mostly Confident,Very Confident,Very Confident,Very Confident,Very Confident,0.0,2 (Somewhat influential),3 (Partially Influential),2.0,2.0,0.0,3 (Partially Influential)
Junior,3.33 – 3.67,Use Frequently,Used 1-2 times,Used 1-2 times,Used 1-2 times,Never Used,Used 1-2 times,4.0,2.0,2.0,3.0,Mostly Confident,Very Confident,Fairly Confident,Very Confident,Very Confident,4.0,5 (Extremely influential),4 (Moderately influential),5.0,4.0,3.0,2 (Somewhat influential)
Sophomore,3.0 – 3.33,Use Frequently,Never Used,Use Frequently,Use Rarely,Never Used,Used 1-2 times,3.0,4.0,0.0,4.0,Mostly Confident,Very Confident,Mostly Confident,Mostly Confident,Very Confident,5.0,1 (Not at all/haven’t thought about it),4 (Moderately influential),5.0,5.0,0.0,5 (Extremely influential)
Junior,3.0 – 3.33,Use Rarely,Never Used,Use Rarely,Used 1-2 times,Never Used,Use Rarely,1.0,2.0,0.0,4.0,Fairly Confident,Fairly Confident,Fairly Confident,Mostly Confident,Fairly Confident,3.0,3 (Partially Influential),3 (Partially Influential),1.0,1.0,0.0,3 (Partially Influential)
Sophomore,3.67 – 4.0,Used 1-2 times,Never Used,Used 1-2 times,Never Used,Never Used,Never Used,1.0,0.0,0.0,1.0,Somewhat Confident,Fairly Confident,Somewhat Confident,Very Confident,Very Confident,3.0,5 (Extremely influential),5 (Extremely influential),5.0,5.0,2.0,5 (Extremely influential)
Junior,3.67 – 4.0,Never Used,Never Used,Use Frequently,Never Used,Never Used,Never Used,5.0,5.0,4.0,5.0,Somewhat Confident,Very Confident,Mostly Confident,Very Confident,Very Confident,2.0,5 (Extremely influential),4 (Moderately influential),5.0,5.0,4.0,5 (Extremely influential)
Junior,2.67 – 3.0,Use Rarely,Use Rarely,Use Rarely,Never Used,Never Used,Never Used,3.0,3.0,3.0,2.0,Fairly Confident,Fairly Confident,Fairly Confident,Fairly Confident,Fairly Confident,3.0,3 (Partially Influential),3 (Partially Influential),2.0,2.0,2.0,3 (Partially Influential)
Sophomore,3.0 – 3.33,Use Frequently,Never Used,Never Used,Never Used,Never Used,Never Used,0.0,0.0,0.0,0.0,Mostly Confident,Mostly Confident,Mostly Confident,Fairly Confident,Mostly Confident,0.0,5 (Extremely influential),5 (Extremely influential),0.0,0.0,0.0,4 (Moderately influential)
Junior,3.0 – 3.33,Use Frequently,Use Frequently,Use Rarely,Used 1-2 times,Never Used,Never Used,5.0,4.0,4.0,4.0,Somewhat Confident,Very Confident,Very Confident,Very Confident,Very Confident,3.0,3 (Partially Influential),2 (Somewhat influential),5.0,4.0,4.0,3 (Partially Influential)
Junior,2.67 – 3.0,Used 1-2 times,Use Rarely,Use Frequently,Never Used,Never Used,Never Used,1.0,1.0,1.0,0.0,Fairly Confident,Mostly Confident,Mostly Confident,Slightly Confident,Mostly Confident,4.0,4 (Moderately influential),2 (Somewhat influential),0.0,0.0,0.0,4 (Moderately influential)
Sophomore,3.67 – 4.0,Used 1-2 times,Used 1-2 times,Used 1-2 times,Use Rarely,Use Rarely,Use Rarely,0.0,2.0,1.0,0.0,Slightly Confident,Slightly Confident,Somewhat Confident,Somewhat Confident,Somewhat Confident,0.0,2 (Somewhat influential),2 (Somewhat influential),0.0,1.0,1.0,2 (Somewhat influential)
Senior,3.67 – 4.0,Use Frequently,Never Used,Use Rarely,Never Used,Never Used,Never Used,2.0,1.0,1.0,4.0,Somewhat Confident,Mostly Confident,Fairly Confident,Mostly Confident,Mostly Confident,3.0,5 (Extremely influential),4 (Moderately influential),5.0,3.0,3.0,4 (Moderately influential)
Freshman,2.67 – 3.0,Use Rarely,,,,,,1.0,1.0,1.0,2.0,,Slightly Confident,,,,2.0,,,1.0,1.0,1.0,
Junior,3.67 – 4.0,Use Frequently,Used 1-2 times,Used 1-2 times,Never Used,Never Used,Used 1-2 times,4.0,2.0,3.0,3.0,Mostly Confident,Very Confident,Very Confident,Very Confident,Very Confident,2.0,5 (Extremely influential),4 (Moderately influential),2.0,2.0,2.0,3 (Partially Influential)
Junior,2.0 – 2.33,Use Frequently,Use Frequently,Use Frequently,Use Rarely,Never Used,Use Rarely,4.0,4.0,4.0,4.0,Mostly Confident,Mostly Confident,Mostly Confident,Mostly Confident,Mostly Confident,2.0,5 (Extremely influential),5 (Extremely influential),3.0,3.0,3.0,5 (Extremely influential)
Sophomore,3.33 – 3.67,Use Rarely,Use Frequently,Use Frequently,Use Rarely,Use Rarely,Use Rarely,4.0,4.0,4.0,4.0,Fairly Confident,Slightly Confident,Slightly Confident,Somewhat Confident,Somewhat Confident,4.0,4 (Moderately influential),3 (Partially Influential),2.0,3.0,3.0,4 (Moderately influential)
Junior,2.67 – 3.0,Used 1-2 times,Never Used,Never Used,Never Used,Never Used,Never Used,2.0,2.0,2.0,2.0,Very Confident,Very Confident,Mostly Confident,Somewhat Confident,Somewhat Confident,2.0,2 (Somewhat influential),2 (Somewhat influential),4.0,4.0,4.0,2 (Somewhat influential)
Sophomore,3.0 – 3.33,Use Rarely,Used 1-2 times,Use Frequently,Used 1-2 times,Never Used,Never Used,5.0,5.0,5.0,5.0,Very Confident,Mostly Confident,Mostly Confident,Fairly Confident,Fairly Confident,5.0,2 (Somewhat influential),1 (Not at all/haven’t thought about it),3.0,3.0,3.0,3 (Partially Influential)
Sophomore,3.33 – 3.67,Use Frequently,Use Rarely,Use Frequently,Used 1-2 times,Used 1-2 times,Used 1-2 times,3.0,3.0,3.0,3.0,Fairly Confident,Fairly Confident,Fairly Confident,Fairly Confident,Fairly Confident,3.0,5 (Extremely influential),5 (Extremely influential),3.0,3.0,3.0,5 (Extremely influential)
Sophomore,3.67 – 4.0,Use Frequently,Use Rarely,Use Rarely,Used 1-2 times,Used 1-2 times,Never Used,4.0,4.0,4.0,4.0,Fairly Confident,Somewhat Confident,Fairly Confident,Somewhat Confident,Somewhat Confident,4.0,3 (Partially Influential),3 (Partially Influential),3.0,3.0,3.0,2 (Somewhat influential)
Freshman,2.33 – 2.67,Use Frequently,Never Used,Use Frequently,Never Used,Never Used,Never Used,4.0,1.0,0.0,3.0,Somewhat Confident,Somewhat Confident,,Slightly Confident,Somewhat Confident,2.0,3 (Partially Influential),4 (Moderately influential),4.0,2.0,2.0,4 (Moderately influential)
Senior,Prefer not to say,Use Frequently,Use Rarely,Never Used,Never Used,Never Used,Never Used,4.0,5.0,4.0,4.0,Mostly Confident,Fairly Confident,Mostly Confident,Fairly Confident,Very Confident,2.0,5 (Extremely influential),4 (Moderately influential),1.0,1.0,1.0,3 (Partially Influential)
Sophomore,3.33 – 3.67,Use Frequently,Never Used,Use Frequently,Use Rarely,Never Used,Never Used,3.0,2.0,2.0,3.0,Mostly Confident,Mostly Confident,Fairly Confident,Very Confident,Fairly Confident,1.0,5 (Extremely influential),5 (Extremely influential),4.0,5.0,4.0,5 (Extremely influential)
Junior,3.67 – 4.0,Use Frequently,Use Frequently,Used 1-2 times,Never Used,Never Used,Never Used,2.0,4.0,0.0,4.0,Fairly Confident,Very Confident,Slightly Confident,Very Confident,Very Confident,3.0,5 (Extremely influential),5 (Extremely influential),5.0,5.0,5.0,5 (Extremely influential)
Sophomore,3.0 – 3.33,Use Frequently,Used 1-2 times,Used 1-2 times,Never Used,Never Used,Never Used,4.0,4.0,4.0,5.0,Fairly Confident,Fairly Confident,Fairly Confident,Very Confident,Mostly Confident,2.0,5 (Extremely influential),4 (Moderately influential),5.0,5.0,5.0,5 (Extremely influential)
Junior,2.67 – 3.0,Use Frequently,Use Rarely,Use Frequently,Use Rarely,Use Frequently,Use Frequently,4.0,3.0,0.0,3.0,Slightly Confident,Fairly Confident,Fairly Confident,Fairly Confident,Somewhat Confident,3.0,4 (Moderately influential),3 (Partially Influential),3.0,4.0,0.0,3 (Partially Influential)
Sophomore,3.33 – 3.67,Use Frequently,Used 1-2 times,Use Frequently,Used 1-2 times,Never Used,Never Used,0.0,0.0,0.0,0.0,Very Confident,Slightly Confident,Very Confident,Very Confident,Very Confident,5.0,5 (Extremely influential),5 (Extremely influential),0.0,0.0,0.0,5 (Extremely influential)
Freshman,Prefer not to say,Use Rarely,Use Rarely,Use Rarely,Use Rarely,Use Rarely,Use Rarely,2.0,2.0,2.0,1.0,Somewhat Confident,Somewhat Confident,Somewhat Confident,Somewhat Confident,Somewhat Confident,1.0,2 (Somewhat influential),2 (Somewhat influential),2.0,2.0,2.0,2 (Somewhat influential)
Freshman,3.0 – 3.33,Use Rarely,Use Rarely,Use Rarely,Use Rarely,Use Rarely,Use Rarely,1.0,1.0,1.0,0.0,Somewhat Confident,Somewhat Confident,Somewhat Confident,Somewhat Confident,Somewhat Confident,3.0,2 (Somewhat influential),2 (Somewhat influential),1.0,1.0,1.0,2 (Somewhat influential)
Freshman,2.33 – 2.67,Used 1-2 times,Never Used,Never Used,Never Used,Never Used,Never Used,5.0,3.0,3.0,1.0,Fairly Confident,Fairly Confident,,Mostly Confident,Very Confident,3.0,5 (Extremely influential),5 (Extremely influential),5.0,5.0,5.0,5 (Extremely influential)
Junior,3.67 – 4.0,Use Rarely,,Use Frequently,,,Use Rarely,,,,2.0,Fairly Confident,Mostly Confident,Mostly Confident,Mostly Confident,Mostly Confident,,5 (Extremely influential),5 (Extremely influential),,,,5 (Extremely influential)
Senior,3.0 – 3.33,Use Rarely,Use Frequently,Use Rarely,Used 1-2 times,Used 1-2 times,Use Frequently,3.0,3.0,3.0,5.0,Mostly Confident,Fairly Confident,Mostly Confident,Slightly Confident,Somewhat Confident,5.0,2 (Somewhat influential),2 (Somewhat influential),5.0,5.0,5.0,4 (Moderately influential)
Senior,3.33 – 3.67,Use Frequently,Used 1-2 times,Used 1-2 times,Used 1-2 times,Used 1-2 times,Use Rarely,2.0,3.0,3.0,4.0,Somewhat Confident,Mostly Confident,Somewhat Confident,Fairly Confident,Fairly Confident,1.0,4 (Moderately influential),4 (Moderately influential),3.0,3.0,3.0,4 (Moderately influential)
